ticker,exchange,volatility_1y,last_close,observations,lookback_period,as_of_date,avg_dollar_volume_63d,rank_within_exchange,global_rank
CHRS,NASDAQ,1.0582527706308362,3.3299999237060547,249,1y,2024-01-01,,294,298
AQB,NASDAQ,1.055488972903761,2.8499999046325684,249,1y,2024-01-01,,295,299
GLMD,NASDAQ,1.0553696945854103,5.460000038146973,249,1y,2024-01-01,,296,300
CETY,NASDAQ,1.0543263656423976,22.5,238,1y,2024-01-01,,297,301
BENF,NASDAQ,1.0542983282584544,311.0400085449219,249,1y,2024-01-01,,298,302
IMDX,NASDAQ,1.0531633303040417,2.5,249,1y,2024-01-01,,299,303
EVAX,NASDAQ,1.0513989812146387,34.29999923706055,249,1y,2024-01-01,,300,304
BIRD,NASDAQ,1.0496964354435174,24.5,249,1y,2024-01-01,,301,305
AMBR,NASDAQ,1.0493192385974863,3.8299999237060547,249,1y,2024-01-01,,302,306
ATXG,NASDAQ,1.046890615494838,21.599998474121094,249,1y,2024-01-01,,303,307
IMPP,NASDAQ,1.0457602691552417,2.640000104904175,249,1y,2024-01-01,,304,308
EVTV,NASDAQ,1.0443215254670375,13.600000381469727,249,1y,2024-01-01,,305,309
MCRB,NASDAQ,1.0438728767369152,28.0,249,1y,2024-01-01,,306,310
CLSK,NASDAQ,1.0435164809270256,11.029999732971191,249,1y,2024-01-01,,307,311
APEI,NASDAQ,1.040698176248268,9.649999618530273,249,1y,2024-01-01,,308,312
APYX,NASDAQ,1.0406433418050793,2.619999885559082,249,1y,2024-01-01,,309,313
BTBT,NASDAQ,1.0400833503851683,4.230000019073486,249,1y,2024-01-01,,310,314
HOTH,NASDAQ,1.0399410698059357,1.440000057220459,249,1y,2024-01-01,,311,315
GAME,NASDAQ,1.0386613828604514,1.809999942779541,249,1y,2024-01-01,,312,316
AMTX,NASDAQ,1.0386131474761195,5.239999771118164,249,1y,2024-01-01,,313,317
ACXP,NASDAQ,1.0352054462622995,76.5999984741211,249,1y,2024-01-01,,314,318
MAAS,NASDAQ,1.0274831366340769,370.20001220703125,249,1y,2024-01-01,,315,319
IMCC,NASDAQ,1.0273727469872957,2.1419999599456787,249,1y,2024-01-01,,316,320
GPCR,NASDAQ,1.0250388241003752,40.7599983215332,227,1y,2024-01-01,,317,321
CVKD,NASDAQ,1.0209721193785362,11.100000381469727,237,1y,2024-01-01,,318,323
BON,NASDAQ,1.0194566127500706,135.0,249,1y,2024-01-01,,319,324
GGRP,NASDAQ,1.0193515477427104,1.1299999952316284,249,1y,2024-01-01,,320,325
ACFN,NASDAQ,1.0169072198815579,6.090000152587891,249,1y,2024-01-01,,321,326
IKT,NASDAQ,1.0162908834369093,1.2699999809265137,249,1y,2024-01-01,,322,327
ABOS,NASDAQ,1.0158437208712974,3.8399999141693115,249,1y,2024-01-01,,323,328
MDIA,NASDAQ,1.0147943391383896,0.4300000071525574,249,1y,2024-01-01,,324,329
AZ,NASDAQ,1.012807337618228,3.424999952316284,249,1y,2024-01-01,,325,330
APVO,NASDAQ,1.0118838196840856,106080.4765625,249,1y,2024-01-01,,326,331
IMRX,NASDAQ,1.0113999913838878,7.349999904632568,249,1y,2024-01-01,,327,332
LNZA,NASDAQ,1.0059825496982246,503.0,249,1y,2024-01-01,,328,333
QSI,NASDAQ,1.005970942012482,2.009999990463257,249,1y,2024-01-01,,329,334
FNUC,NASDAQ,1.004447517091121,15.210000038146973,249,1y,2024-01-01,,330,335
BMRA,NASDAQ,1.0044236377498574,10.0,249,1y,2024-01-01,,331,336
KTTA,NASDAQ,1.0031860510678348,7.400000095367432,249,1y,2024-01-01,,332,337
CSTL,NASDAQ,1.0015561913562843,21.579999923706055,249,1y,2024-01-01,,333,338
DHC,NASDAQ,1.000159737886572,3.6293790340423584,249,1y,2024-01-01,,334,339
MAPS,NASDAQ,0.998229154829684,0.7200000286102295,249,1y,2024-01-01,,335,340
MAXN,NASDAQ,0.992418002083147,717.0,249,1y,2024-01-01,,336,341
AEMD,NASDAQ,0.9891859290378268,175.1999969482422,249,1y,2024-01-01,,337,342
BEAT,NASDAQ,0.9875368465539656,2.3499999046325684,249,1y,2024-01-01,,338,343
ACRV,NASDAQ,0.9865902682331305,4.920000076293945,249,1y,2024-01-01,,339,344
SPWR,NASDAQ,0.986497657165734,1.6050000190734863,249,1y,2024-01-01,,340,345
DRUG,NASDAQ,0.9852606737365702,1.4299999475479126,249,1y,2024-01-01,,341,346
CGTX,NASDAQ,0.984716690339216,1.850000023841858,249,1y,2024-01-01,,342,347
HYFT,NASDAQ,0.9838461220627998,1.7100000381469727,249,1y,2024-01-01,,343,348
DUOT,NASDAQ,0.9831704124754164,2.9000000953674316,249,1y,2024-01-01,,344,349
JZ,NASDAQ,0.982701431935748,24.18000030517578,249,1y,2024-01-01,,345,350
AMSC,NASDAQ,0.9822581305272029,11.140000343322754,249,1y,2024-01-01,,346,351
ALXO,NASDAQ,0.9804065868921734,14.890000343322754,249,1y,2024-01-01,,347,352
ABAT,NASDAQ,0.9797223107871398,4.690000057220459,249,1y,2024-01-01,,348,353
ABSI,NASDAQ,0.9796999926119085,4.199999809265137,249,1y,2024-01-01,,349,354
GDTC,NASDAQ,0.9788246079413081,4.900000095367432,179,1y,2024-01-01,,350,355
GNPX,NASDAQ,0.9781937143321199,460.0,249,1y,2024-01-01,,351,356
ISPR,NASDAQ,0.9749194269845262,12.130000114440918,186,1y,2024-01-01,,352,357
ALAR,NASDAQ,0.974323797272837,7.760000228881836,249,1y,2024-01-01,,353,358
CPOP,NASDAQ,0.9726031045036148,1.0700000524520874,249,1y,2024-01-01,,354,359
IPM,NASDAQ,0.9710162965873841,2.3399999141693115,249,1y,2024-01-01,,355,360
JFU,NASDAQ,0.9709271148359615,3.430000066757202,249,1y,2024-01-01,,356,361
HIVE,NASDAQ,0.9704239089699553,4.53000020980835,249,1y,2024-01-01,,357,362
BFRI,NASDAQ,0.9696385935571391,2.7699999809265137,249,1y,2024-01-01,,358,363
DCOY,NASDAQ,0.9686573025286238,936.0,249,1y,2024-01-01,,359,364
LVLU,NASDAQ,0.9680779919316125,27.899999618530273,249,1y,2024-01-01,,360,365
AFRM,NASDAQ,0.9676068537806987,49.13999938964844,249,1y,2024-01-01,,361,366
ITRM,NASDAQ,0.9653488556161974,1.9700000286102295,249,1y,2024-01-01,,362,367
CAN,NASDAQ,0.9645183549842469,2.309999942779541,249,1y,2024-01-01,,363,368
IMTE,NASDAQ,0.962007824583417,2.7100000381469727,249,1y,2024-01-01,,364,369
COGT,NASDAQ,0.9613458055517683,5.880000114440918,249,1y,2024-01-01,,365,370
CHNR,NASDAQ,0.9613134078294141,12.720000267028809,249,1y,2024-01-01,,366,371
HSDT,NASDAQ,0.9595979682594672,6029.25,249,1y,2024-01-01,,367,372
BTBD,NASDAQ,0.9584722062188744,2.5,249,1y,2024-01-01,,368,373
LVO,NASDAQ,0.9580636045756203,13.899999618530273,249,1y,2024-01-01,,369,374
ERNA,NASDAQ,0.957145774127156,27.0,249,1y,2024-01-01,,370,375
ATER,NASDAQ,0.9556424809154791,4.188000202178955,249,1y,2024-01-01,,371,376
