ticker,exchange,volatility_1y,last_close,observations,lookback_period,as_of_date,avg_dollar_volume_63d,rank_within_exchange,global_rank
MRVL,NASDAQ,0.5235870487066817,59.865379333496094,249,1y,2024-01-01,477545015.4618763,168,191
DKNG,NASDAQ,0.5235259970019652,35.25,249,1y,2024-01-01,420294744.3618956,169,192
KRYS,NASDAQ,0.5207546650292716,124.05999755859375,249,1y,2024-01-01,34021345.96342056,170,195
DAKT,NASDAQ,0.5174512101708716,8.479999542236328,249,1y,2024-01-01,5429722.602385567,171,198
RARE,NASDAQ,0.51675724494053,47.81999969482422,249,1y,2024-01-01,37235824.727346025,172,200
BELFB,NASDAQ,0.5162635829535072,66.26496124267578,249,1y,2024-01-01,6170269.348544166,173,201
ASLE,NASDAQ,0.5150317788642542,12.694999694824219,249,1y,2024-01-01,5653534.0449757045,174,202
HLIT,NASDAQ,0.5142750379266448,13.039999961853027,249,1y,2024-01-01,22387726.199104674,175,203
KURA,NASDAQ,0.5139486653037043,14.380000114440918,249,1y,2024-01-01,10236844.072902013,176,204
AZTA,NASDAQ,0.5137328459481284,65.13999938964844,249,1y,2024-01-01,29675476.426811825,177,205
NCNO,NASDAQ,0.5130399442563663,33.630001068115234,249,1y,2024-01-01,16218107.110925704,178,206
ATEC,NASDAQ,0.5108980622755624,15.109999656677246,249,1y,2024-01-01,25781022.174247865,179,207
MBLY,NASDAQ,0.507711350489474,43.31999969482422,249,1y,2024-01-01,83917605.64157395,180,209
LI,NASDAQ,0.5071465417428741,37.43000030517578,249,1y,2024-01-01,198026483.80053082,181,210
GIII,NASDAQ,0.5050610735902574,33.74467086791992,249,1y,2024-01-01,16845873.99120028,182,211
MYGN,NASDAQ,0.5047428350764503,19.139999389648438,249,1y,2024-01-01,11807409.689438533,183,212
COCO,NASDAQ,0.4951439250429775,25.649999618530273,249,1y,2024-01-01,19710920.433213975,184,215
CRNC,NASDAQ,0.4949389257697641,19.65999984741211,249,1y,2024-01-01,8604733.802424537,185,216
JBLU,NASDAQ,0.4938452419769984,5.550000190734863,249,1y,2024-01-01,71477481.25515136,186,218
GSM,NASDAQ,0.4928134306866302,6.323931694030762,249,1y,2024-01-01,6117912.743482892,187,220
FIVN,NASDAQ,0.4910069860918961,78.69000244140625,249,1y,2024-01-01,92423655.7033236,188,221
FOXF,NASDAQ,0.48988736255196746,67.4800033569336,249,1y,2024-01-01,30377528.933140587,189,223
CROX,NASDAQ,0.4896469742942466,93.41000366210938,249,1y,2024-01-01,132688234.01756892,190,224
CSIQ,NASDAQ,0.4878102480971075,26.229999542236328,249,1y,2024-01-01,27615156.624660794,191,225
AMBA,NASDAQ,0.48749172828016835,61.290000915527344,249,1y,2024-01-01,28824602.26282392,192,226
IRTC,NASDAQ,0.48608536012152326,107.04000091552734,249,1y,2024-01-01,31762629.49291411,193,227
LSCC,NASDAQ,0.4851752981488223,68.98999786376953,249,1y,2024-01-01,156428341.06250945,194,228
ASTH,NASDAQ,0.48504792059128554,38.29999923706055,249,1y,2024-01-01,6324800.086496747,195,229
NFE,NASDAQ,0.48495921898850985,37.09748840332031,249,1y,2024-01-01,48740708.301750064,196,230
AMPL,NASDAQ,0.4848900168988558,12.720000267028809,249,1y,2024-01-01,5181451.802614,197,231
DOCU,NASDAQ,0.4848675372861988,59.45000076293945,249,1y,2024-01-01,208157330.34173268,198,232
EMBC,NASDAQ,0.4825640420676066,17.084569931030273,249,1y,2024-01-01,8419128.287260873,199,234
BMBL,NASDAQ,0.4823343688823349,14.739999771118164,249,1y,2024-01-01,35287526.71288536,200,236
ALGT,NASDAQ,0.4811037258235433,81.11939239501953,249,1y,2024-01-01,18508079.90063864,201,237
MLCO,NASDAQ,0.480996945891505,8.869999885559082,249,1y,2024-01-01,24541278.160375264,202,238
LFST,NASDAQ,0.4803875753534726,7.829999923706055,249,1y,2024-01-01,6053841.051217488,203,239
HTZ,NASDAQ,0.4789302459869828,10.390000343322754,249,1y,2024-01-01,43211407.85297061,204,240
CLDX,NASDAQ,0.47856864629582324,39.65999984741211,249,1y,2024-01-01,22669420.951040965,205,241
MCW,NASDAQ,0.4777863371651176,8.640000343322754,249,1y,2024-01-01,10926170.862829117,206,243
MPWR,NASDAQ,0.4769577177256086,621.3193359375,249,1y,2024-01-01,258408969.91305882,207,244
ARGX,NASDAQ,0.4766741586608348,380.42999267578125,249,1y,2024-01-01,171014671.07045007,208,245
JD,NASDAQ,0.47628843151392186,27.280588150024414,249,1y,2024-01-01,336811901.1743122,209,246
SYNA,NASDAQ,0.4758756591922093,114.08000183105469,249,1y,2024-01-01,37141714.396873355,210,247
SGRY,NASDAQ,0.47414953932547976,31.989999771118164,249,1y,2024-01-01,29086910.938247804,211,248
BRZE,NASDAQ,0.4725132299433883,53.130001068115234,249,1y,2024-01-01,39832355.637844026,212,250
CERT,NASDAQ,0.47248443203258805,17.59000015258789,249,1y,2024-01-01,9701740.525586264,213,251
FTRE,NASDAQ,0.4722122526231471,34.900001525878906,135,1y,2024-01-01,34531520.39768885,214,252
ILMN,NASDAQ,0.4718238765772406,135.4474639892578,249,1y,2024-01-01,291190861.59102136,215,253
